target,model,feature_set,nominal_coverage,picp,ece,mean_interval_width_log,n_folds
chla_ug_l,Ridge,full,0.8,0.78,0.0205,1.8717,5
chla_ug_l,Ridge,full,0.9,0.887,0.0129,2.4511,5
chla_ug_l,Ridge,full,0.95,0.944,0.006,3.0259,5
chla_ug_l,RF,full,0.8,0.819,0.0192,1.4792,5
chla_ug_l,RF,full,0.9,0.911,0.0114,1.9772,5
chla_ug_l,RF,full,0.95,0.954,0.0043,2.4644,5
chla_ug_l,XGBoost,full,0.8,0.809,0.0092,1.3779,5
chla_ug_l,XGBoost,full,0.9,0.91,0.0096,1.9025,5
chla_ug_l,XGBoost,full,0.95,0.955,0.0048,2.3899,5
chla_ug_l,LightGBM,full,0.8,0.817,0.017,1.381,5
chla_ug_l,LightGBM,full,0.9,0.913,0.0132,1.9206,5
chla_ug_l,LightGBM,full,0.95,0.957,0.0071,2.4091,5
tp_ug_l,Ridge,full,0.8,0.799,0.0008,2.09,5
tp_ug_l,Ridge,full,0.9,0.899,0.0009,3.1006,5
tp_ug_l,Ridge,full,0.95,0.952,0.0021,4.9642,5
tp_ug_l,RF,full,0.8,0.83,0.0298,1.4381,5
tp_ug_l,RF,full,0.9,0.922,0.0223,2.3492,5
tp_ug_l,RF,full,0.95,0.967,0.0174,3.7034,5
tp_ug_l,XGBoost,full,0.8,0.821,0.0207,1.5659,5
tp_ug_l,XGBoost,full,0.9,0.914,0.0137,2.4361,5
tp_ug_l,XGBoost,full,0.95,0.962,0.0122,3.7244,5
tp_ug_l,LightGBM,full,0.8,0.825,0.0254,1.5106,5
tp_ug_l,LightGBM,full,0.9,0.92,0.0197,2.3609,5
tp_ug_l,LightGBM,full,0.95,0.965,0.015,3.62,5
secchi_m,Ridge,full,0.8,0.805,0.0052,0.9295,5
secchi_m,Ridge,full,0.9,0.899,0.0007,1.1712,5
secchi_m,Ridge,full,0.95,0.946,0.0041,1.3878,5
secchi_m,RF,full,0.8,0.82,0.0196,0.7362,5
secchi_m,RF,full,0.9,0.914,0.0145,0.9723,5
secchi_m,RF,full,0.95,0.959,0.0094,1.1974,5
secchi_m,XGBoost,full,0.8,0.816,0.0164,0.6171,5
secchi_m,XGBoost,full,0.9,0.916,0.0157,0.8461,5
secchi_m,XGBoost,full,0.95,0.959,0.0087,1.0631,5
secchi_m,LightGBM,full,0.8,0.813,0.0134,0.6014,5
secchi_m,LightGBM,full,0.9,0.913,0.0129,0.8244,5
secchi_m,LightGBM,full,0.95,0.96,0.0102,1.0512,5
chla_ug_l,MLP,full,0.8,0.823,0.0234,2.0933,5
chla_ug_l,MLP,full,0.9,0.91,0.0098,2.788,5
chla_ug_l,MLP,full,0.95,0.955,0.005,3.4167,5
chla_ug_l,FT-Transformer,full,0.8,0.79,0.0098,2.3273,5
chla_ug_l,FT-Transformer,full,0.9,0.892,0.0077,3.0317,5
chla_ug_l,FT-Transformer,full,0.95,0.949,0.0014,3.7835,5
secchi_m,MLP,full,0.8,0.817,0.0169,0.9407,5
secchi_m,MLP,full,0.9,0.912,0.0122,1.239,5
secchi_m,MLP,full,0.95,0.956,0.0056,1.4969,5
secchi_m,FT-Transformer,full,0.8,0.804,0.0036,1.1831,5
secchi_m,FT-Transformer,full,0.9,0.902,0.0023,1.4826,5
secchi_m,FT-Transformer,full,0.95,0.949,0.0013,1.6848,5
tp_ug_l,MLP,full,0.8,0.843,0.0435,1.7146,5
tp_ug_l,MLP,full,0.9,0.929,0.0285,2.6315,5
tp_ug_l,MLP,full,0.95,0.968,0.0176,3.9927,5
tp_ug_l,FT-Transformer,full,0.8,0.796,0.0041,2.4397,5
tp_ug_l,FT-Transformer,full,0.9,0.9,0.0002,3.5014,5
tp_ug_l,FT-Transformer,full,0.95,0.951,0.0013,5.1508,5
