target,model,feature_set,rmse,r2,mae,n
chla_ug_l,StationMean,static,21.595,0.131,8.35,49300
chla_ug_l,Ridge,static,22.819,0.03,8.87,49300
chla_ug_l,RF,static,19.47,0.294,6.838,49300
chla_ug_l,XGBoost,static,19.452,0.295,6.846,49300
chla_ug_l,LightGBM,static,19.337,0.303,6.827,49300
chla_ug_l,MLP,static,19.639,0.281,6.994,49300
chla_ug_l,FT-Transformer,static,22.211,0.081,8.479,49300
chla_ug_l,StationMean,met,21.595,0.131,8.35,49300
chla_ug_l,Ridge,met,22.616,0.047,8.726,49300
chla_ug_l,RF,met,18.971,0.33,6.449,49300
chla_ug_l,XGBoost,met,19.016,0.326,6.51,49300
chla_ug_l,LightGBM,met,18.973,0.329,6.494,49300
chla_ug_l,MLP,met,19.171,0.315,6.686,49300
chla_ug_l,FT-Transformer,met,22.3,0.074,8.486,49300
chla_ug_l,StationMean,met_mesan,21.595,0.131,8.35,49300
chla_ug_l,Ridge,met_mesan,22.355,0.069,8.562,49300
chla_ug_l,RF,met_mesan,19.147,0.317,6.333,49300
chla_ug_l,XGBoost,met_mesan,19.121,0.319,6.419,49300
chla_ug_l,LightGBM,met_mesan,18.966,0.33,6.342,49300
chla_ug_l,MLP,met_mesan,20.925,0.184,7.833,49300
chla_ug_l,FT-Transformer,met_mesan,23.627,-0.04,9.413,49300
chla_ug_l,StationMean,published_alg,21.595,0.131,8.35,49300
chla_ug_l,Ridge,published_alg,23.617,-0.039,9.6,49300
chla_ug_l,RF,published_alg,22.61,0.048,8.969,49300
chla_ug_l,XGBoost,published_alg,22.547,0.053,8.94,49300
chla_ug_l,LightGBM,published_alg,22.521,0.055,8.947,49300
chla_ug_l,MLP,published_alg,23.096,0.006,9.151,49300
chla_ug_l,FT-Transformer,published_alg,23.508,-0.03,9.419,49300
chla_ug_l,StationMean,full,21.595,0.131,8.35,49300
chla_ug_l,Ridge,full,21.662,0.126,8.184,49300
chla_ug_l,RF,full,19.38,0.3,6.429,49300
chla_ug_l,XGBoost,full,18.79,0.342,6.221,49300
chla_ug_l,LightGBM,full,18.513,0.362,6.105,49300
chla_ug_l,MLP,full,20.759,0.197,7.783,49300
chla_ug_l,FT-Transformer,full,23.63,-0.04,9.454,49300
tp_ug_l,StationMean,static,163.591,-1.368,24.239,502638
tp_ug_l,Ridge,static,105.462,0.016,23.922,502638
tp_ug_l,RF,static,101.159,0.095,18.1,502638
tp_ug_l,XGBoost,static,101.703,0.085,18.561,502638
tp_ug_l,LightGBM,static,101.427,0.09,18.239,502638
tp_ug_l,MLP,static,101.087,0.096,17.969,502638
tp_ug_l,FT-Transformer,static,101.884,0.082,20.415,502638
tp_ug_l,StationMean,met,163.591,-1.368,24.239,502638
tp_ug_l,Ridge,met,105.445,0.016,23.91,502638
tp_ug_l,RF,met,100.636,0.104,17.663,502638
tp_ug_l,XGBoost,met,101.462,0.089,18.413,502638
tp_ug_l,LightGBM,met,101.173,0.094,18.035,502638
tp_ug_l,MLP,met,100.648,0.104,17.614,502638
tp_ug_l,FT-Transformer,met,102.169,0.077,20.879,502638
tp_ug_l,StationMean,met_mesan,163.591,-1.368,24.239,502638
tp_ug_l,Ridge,met_mesan,105.098,0.023,23.676,502638
tp_ug_l,RF,met_mesan,99.861,0.118,16.692,502638
tp_ug_l,XGBoost,met_mesan,101.057,0.096,18.174,502638
tp_ug_l,LightGBM,met_mesan,100.629,0.104,17.711,502638
tp_ug_l,MLP,met_mesan,100.283,0.11,17.88,502638
tp_ug_l,FT-Transformer,met_mesan,106.05,0.005,25.896,502638
tp_ug_l,StationMean,published_alg,163.591,-1.368,24.239,502638
tp_ug_l,Ridge,published_alg,107.765,-0.027,27.77,502638
tp_ug_l,RF,published_alg,107.495,-0.022,27.322,502638
tp_ug_l,XGBoost,published_alg,107.497,-0.022,27.344,502638
tp_ug_l,LightGBM,published_alg,107.494,-0.022,27.338,502638
tp_ug_l,MLP,published_alg,108.15,-0.035,27.927,502638
tp_ug_l,FT-Transformer,published_alg,107.22,-0.017,27.65,502638
tp_ug_l,StationMean,full,163.591,-1.368,24.239,502638
tp_ug_l,Ridge,full,104.992,0.025,23.51,502638
tp_ug_l,RF,full,99.856,0.118,16.716,502638
tp_ug_l,XGBoost,full,101.114,0.095,18.179,502638
tp_ug_l,LightGBM,full,100.61,0.104,17.653,502638
tp_ug_l,MLP,full,100.142,0.113,18.093,502638
tp_ug_l,FT-Transformer,full,106.171,0.003,26.044,502638
secchi_m,StationMean,static,1.149,0.625,0.816,16163
secchi_m,Ridge,static,1.668,0.21,1.219,16163
secchi_m,RF,static,1.139,0.632,0.756,16163
secchi_m,XGBoost,static,1.125,0.64,0.748,16163
secchi_m,LightGBM,static,1.122,0.642,0.745,16163
secchi_m,StationMean,met,1.149,0.625,0.816,16163
secchi_m,Ridge,met,1.666,0.211,1.217,16163
secchi_m,RF,met,1.11,0.65,0.727,16163
secchi_m,XGBoost,met,1.108,0.651,0.727,16163
secchi_m,LightGBM,met,1.11,0.65,0.726,16163
secchi_m,StationMean,met_mesan,1.149,0.625,0.816,16163
secchi_m,Ridge,met_mesan,1.671,0.207,1.219,16163
secchi_m,RF,met_mesan,1.101,0.656,0.731,16163
secchi_m,XGBoost,met_mesan,1.103,0.654,0.733,16163
secchi_m,LightGBM,met_mesan,1.092,0.661,0.721,16163
secchi_m,StationMean,published_alg,1.149,0.625,0.816,16163
