target,trophic_class,nominal_coverage,picp,pinaw,winkler_score,sharpness,crps,n,ece
chla_ug_l,all,0.5,0.444,0.112,21.483,7.545,-3.546,49300,
chla_ug_l,all,0.7,0.63,0.1771,28.38,11.938,-3.546,49300,
chla_ug_l,all,0.8,0.726,0.2257,34.991,15.209,-3.546,49300,
chla_ug_l,all,0.9,0.838,0.3131,50.386,21.105,-3.546,49300,
chla_ug_l,all,0.95,0.904,0.4238,73.416,28.565,-3.546,49300,0.0617
chla_ug_l,oligotrophic,0.5,0.441,0.1871,5.876,2.732,-2.556,17541,
chla_ug_l,oligotrophic,0.7,0.63,0.3178,7.982,4.641,-2.556,17541,
chla_ug_l,oligotrophic,0.8,0.727,0.4373,10.083,6.385,-2.556,17541,
chla_ug_l,oligotrophic,0.9,0.839,0.7239,15.268,10.569,-2.556,17541,
chla_ug_l,oligotrophic,0.95,0.903,1.1797,23.22,17.223,-2.556,17541,0.0623
chla_ug_l,mesotrophic,0.5,0.462,0.2051,15.563,6.624,-4.092,17731,
chla_ug_l,mesotrophic,0.7,0.654,0.3278,20.241,10.586,-4.092,17731,
chla_ug_l,mesotrophic,0.8,0.752,0.4207,24.208,13.588,-4.092,17731,
chla_ug_l,mesotrophic,0.9,0.87,0.6028,32.217,19.471,-4.092,17731,
chla_ug_l,mesotrophic,0.95,0.936,0.8415,42.055,27.18,-4.092,17731,0.0354
chla_ug_l,eutrophic,0.5,0.423,0.181,48.468,16.167,-5.195,6965,
chla_ug_l,eutrophic,0.7,0.595,0.2775,63.606,24.784,-5.195,6965,
chla_ug_l,eutrophic,0.8,0.683,0.3424,77.796,30.579,-5.195,6965,
chla_ug_l,eutrophic,0.9,0.788,0.4356,110.486,38.902,-5.195,6965,
chla_ug_l,eutrophic,0.95,0.862,0.5279,156.193,47.138,-5.195,6965,0.0998
chla_ug_l,hypereutrophic,0.5,0.33,0.1447,144.385,32.068,1.68,1399,
chla_ug_l,hypereutrophic,0.7,0.496,0.2202,194.561,48.79,1.68,1399,
chla_ug_l,hypereutrophic,0.8,0.565,0.27,251.257,59.829,1.68,1399,
chla_ug_l,hypereutrophic,0.9,0.629,0.3216,400.972,71.254,1.68,1399,
chla_ug_l,hypereutrophic,0.95,0.705,0.3557,658.783,78.806,1.68,1399,0.225
chla_ug_l,,0.5,0.455,0.1173,24.808,8.679,-4.17,5664,
chla_ug_l,,0.7,0.634,0.1875,32.666,13.872,-4.17,5664,
chla_ug_l,,0.8,0.732,0.2391,39.832,17.693,-4.17,5664,
chla_ug_l,,0.9,0.846,0.3321,55.523,24.575,-4.17,5664,
chla_ug_l,,0.95,0.91,0.4429,80.667,32.773,-4.17,5664,0.0545
tp_ug_l,all,0.5,0.486,0.122,60.882,20.729,-11.549,502638,
tp_ug_l,all,0.7,0.684,0.1986,81.746,33.753,-11.549,502638,
tp_ug_l,all,0.8,0.785,0.2631,101.691,44.723,-11.549,502638,
tp_ug_l,all,0.9,0.887,0.3883,146.312,66.003,-11.549,502638,
tp_ug_l,all,0.95,0.94,0.5377,211.477,91.399,-11.549,502638,0.0135
tp_ug_l,mesotrophic,0.5,0.549,0.6091,23.133,14.01,-12.162,206776,
tp_ug_l,mesotrophic,0.7,0.758,1.0146,30.41,23.336,-12.162,206776,
tp_ug_l,mesotrophic,0.8,0.86,1.3642,36.961,31.376,-12.162,206776,
tp_ug_l,mesotrophic,0.9,0.953,2.0966,51.485,48.221,-12.162,206776,
tp_ug_l,mesotrophic,0.95,0.988,3.0471,71.449,70.083,-12.162,206776,0.0518
tp_ug_l,eutrophic,0.5,0.526,0.5493,64.371,34.606,-24.946,115112,
tp_ug_l,eutrophic,0.7,0.727,0.8829,83.098,55.625,-24.946,115112,
tp_ug_l,eutrophic,0.8,0.821,1.1602,100.199,73.095,-24.946,115112,
tp_ug_l,eutrophic,0.9,0.908,1.6993,134.725,107.059,-24.946,115112,
tp_ug_l,eutrophic,0.95,0.95,2.3008,173.743,144.952,-24.946,115112,0.0165
tp_ug_l,oligotrophic,0.5,0.435,1.0004,16.805,9.994,-7.952,148291,
tp_ug_l,oligotrophic,0.7,0.625,1.5857,21.345,15.841,-7.952,148291,
tp_ug_l,oligotrophic,0.8,0.728,2.0996,25.749,20.975,-7.952,148291,
tp_ug_l,oligotrophic,0.9,0.839,3.1452,35.488,31.421,-7.952,148291,
tp_ug_l,oligotrophic,0.95,0.911,4.6766,50.005,46.72,-7.952,148291,0.0627
tp_ug_l,hypereutrophic,0.5,0.177,0.1122,490.348,63.365,23.427,32459,
tp_ug_l,hypereutrophic,0.7,0.329,0.1848,679.923,104.384,23.427,32459,
tp_ug_l,hypereutrophic,0.8,0.443,0.2436,866.292,137.614,23.427,32459,
tp_ug_l,hypereutrophic,0.9,0.614,0.3393,1297.791,191.676,23.427,32459,
tp_ug_l,hypereutrophic,0.95,0.736,0.4273,1975.012,241.389,23.427,32459,0.3103
secchi_m,all,0.5,0.398,0.1579,2.365,1.026,-0.596,16163,
secchi_m,all,0.7,0.583,0.2561,3.076,1.665,-0.596,16163,
secchi_m,all,0.8,0.681,0.3258,3.653,2.118,-0.596,16163,
secchi_m,all,0.9,0.805,0.4505,4.774,2.928,-0.596,16163,
secchi_m,all,0.95,0.875,0.5783,6.105,3.759,-0.596,16163,0.1015
secchi_m,mesotrophic,0.5,0.41,0.2041,1.915,0.867,-0.584,5636,
secchi_m,mesotrophic,0.7,0.619,0.3383,2.447,1.438,-0.584,5636,
