target,model,test_period,rmse,r2,mae,n
chla_ug_l,StationMean,2011-15,22.859,0.05,8.793,10001
chla_ug_l,Ridge,2011-15,22.242,0.101,8.948,10001
chla_ug_l,LightGBM,2011-15,19.075,0.339,6.931,10001
chla_ug_l,StationMean,2016-20,22.598,-0.026,9.032,10655
chla_ug_l,Ridge,2016-20,1235695218203978.0,-3.066747885569704e+27,11971116138496.0,10655
chla_ug_l,LightGBM,2016-20,18.983,0.276,7.482,10655
chla_ug_l,StationMean,2021-25,22.51,0.029,9.164,9723
chla_ug_l,Ridge,2021-25,20.33,0.208,8.066,9723
chla_ug_l,LightGBM,2021-25,18.226,0.364,6.388,9723
tp_ug_l,StationMean,2011-15,70.871,-0.024,21.819,107592
tp_ug_l,Ridge,2011-15,68.565,0.042,22.257,107592
tp_ug_l,LightGBM,2011-15,62.161,0.213,17.174,107592
tp_ug_l,StationMean,2016-20,137.798,-0.62,31.01,108470
tp_ug_l,Ridge,2016-20,inf,-inf,2.8386770752674303e+20,108470
tp_ug_l,LightGBM,2016-20,103.119,0.093,20.889,108470
tp_ug_l,StationMean,2021-25,182.957,-0.179,26.347,97325
tp_ug_l,Ridge,2021-25,167.58,0.011,25.142,97325
tp_ug_l,LightGBM,2021-25,165.446,0.036,20.224,97325
secchi_m,StationMean,2011-15,1.77,-0.036,1.194,2917
secchi_m,Ridge,2011-15,8.644,-23.705,2.584,2917
secchi_m,LightGBM,2011-15,1.568,0.187,1.068,2917
secchi_m,StationMean,2016-20,1.535,0.384,1.039,6099
secchi_m,Ridge,2016-20,inf,-inf,5.870320288389084e+19,6099
secchi_m,LightGBM,2016-20,1.616,0.318,1.071,6099
secchi_m,StationMean,2021-25,1.222,0.574,0.831,6300
secchi_m,Ridge,2021-25,1.511,0.35,1.081,6300
secchi_m,LightGBM,2021-25,1.085,0.664,0.73,6300
