target,grouping,sensor,present,rmse,r2,mae,n
chla_ug_l,total_count,all,0,22.055,0.186,7.325,5386
chla_ug_l,total_count,all,1,15.595,0.429,5.973,16229
chla_ug_l,total_count,all,2,23.881,0.27,6.005,10206
chla_ug_l,total_count,all,3,18.763,0.374,6.465,6127
chla_ug_l,total_count,all,4,14.492,0.52,5.541,10461
chla_ug_l,total_count,all,5,13.179,0.509,6.434,891
chla_ug_l,per_sensor,modis,1,17.611,0.399,5.755,38322
chla_ug_l,per_sensor,modis,0,21.365,0.249,7.329,10978
chla_ug_l,per_sensor,landsat,1,19.967,0.359,6.081,23511
chla_ug_l,per_sensor,landsat,0,17.079,0.363,6.128,25789
chla_ug_l,per_sensor,sentinel1,1,15.535,0.455,5.716,20763
chla_ug_l,per_sensor,sentinel1,0,20.408,0.312,6.388,28537
chla_ug_l,per_sensor,sentinel2,1,15.659,0.471,5.9,16617
chla_ug_l,per_sensor,sentinel2,0,19.807,0.316,6.21,32683
chla_ug_l,per_sensor,sentinel3,1,24.605,0.284,8.854,2108
chla_ug_l,per_sensor,sentinel3,0,18.193,0.366,5.982,47192
tp_ug_l,total_count,all,0,105.548,0.106,18.587,337087
tp_ug_l,total_count,all,1,94.921,0.107,16.613,80717
tp_ug_l,total_count,all,2,93.449,0.067,13.157,33941
tp_ug_l,total_count,all,3,97.88,0.053,14.297,19853
tp_ug_l,total_count,all,4,53.09,0.192,15.164,28079
tp_ug_l,total_count,all,5,115.675,0.038,37.318,2961
tp_ug_l,per_sensor,modis,1,71.647,0.12,14.318,135709
tp_ug_l,per_sensor,modis,0,109.396,0.1,18.886,366929
tp_ug_l,per_sensor,landsat,1,79.384,0.09,14.72,65116
tp_ug_l,per_sensor,landsat,0,103.397,0.105,18.089,437522
tp_ug_l,per_sensor,sentinel1,1,101.748,0.055,15.52,66577
tp_ug_l,per_sensor,sentinel1,0,100.435,0.111,17.978,436061
tp_ug_l,per_sensor,sentinel2,1,92.428,0.071,16.144,48985
tp_ug_l,per_sensor,sentinel2,0,101.454,0.107,17.816,453653
tp_ug_l,per_sensor,sentinel3,1,100.444,0.134,32.585,18892
tp_ug_l,per_sensor,sentinel3,0,100.617,0.101,17.07,483746
secchi_m,total_count,all,0,0.98,0.476,0.69,533
secchi_m,total_count,all,1,0.943,0.611,0.64,1849
secchi_m,total_count,all,2,1.042,0.66,0.69,2218
secchi_m,total_count,all,3,1.079,0.689,0.713,3845
secchi_m,total_count,all,4,0.991,0.743,0.653,7297
secchi_m,total_count,all,5,1.131,0.563,0.829,421
secchi_m,per_sensor,modis,1,1.036,0.706,0.685,14021
secchi_m,per_sensor,modis,0,0.886,0.649,0.62,2142
secchi_m,per_sensor,landsat,1,0.992,0.736,0.658,10660
secchi_m,per_sensor,landsat,0,1.066,0.629,0.713,5503
secchi_m,per_sensor,sentinel1,1,1.028,0.714,0.684,12859
secchi_m,per_sensor,sentinel1,0,0.976,0.636,0.648,3304
secchi_m,per_sensor,sentinel2,1,1.02,0.721,0.672,10759
secchi_m,per_sensor,sentinel2,0,1.014,0.66,0.686,5404
secchi_m,per_sensor,sentinel3,1,1.056,0.601,0.77,814
secchi_m,per_sensor,sentinel3,0,1.016,0.71,0.672,15349
