target,model,rmse,r2,mae,n
chla_ug_l,MOSAIKS,22.928,0.021,9.479,49300
chla_ug_l,ERA5-LSTM-w30,21.181,0.031,7.113,27398
chla_ug_l,CrossModalNet,22.581,0.05,9.153,49300
chla_ug_l,TemporalTrans-ERA5,21.483,0.003,7.227,27398
tp_ug_l,MOSAIKS,131.812,-0.537,32.545,502632
tp_ug_l,ERA5-LSTM-w30,81.266,-0.28,28.18,160290
tp_ug_l,CrossModalNet,104.825,0.028,23.881,502632
tp_ug_l,TemporalTrans-ERA5,72.125,-0.008,23.366,160290
secchi_m,MOSAIKS,7.646,-15.617,2.292,16163
secchi_m,ERA5-LSTM-w30,1.823,0.141,1.26,6911
secchi_m,CrossModalNet,1.849,0.028,1.302,16163
secchi_m,TemporalTrans-ERA5,2.09,-0.129,1.473,6911
chla_ug_l,LSTM-Temporal,21.655,-0.013,7.276,27398
chla_ug_l,TriModal,22.176,-0.062,8.088,27398
tp_ug_l,LSTM-Temporal,71.937,-0.003,23.579,160290
tp_ug_l,TriModal,71.975,-0.004,23.026,160290
secchi_m,LSTM-Temporal,2.01,-0.045,1.432,6911
secchi_m,TriModal,2.163,-0.21,1.626,6911
