target,model,nominal_coverage,conformal_halfwidth_log,picp,ece
chla_ug_l,MOSAIKS,0.8,1.0542,0.742,0.0579
chla_ug_l,MOSAIKS,0.9,1.3348,0.844,0.0558
chla_ug_l,MOSAIKS,0.95,1.6095,0.91,0.0402
chla_ug_l,ERA5-LSTM-w30,0.8,0.9416,0.772,0.0276
chla_ug_l,ERA5-LSTM-w30,0.9,1.2498,0.87,0.0299
chla_ug_l,ERA5-LSTM-w30,0.95,1.5348,0.923,0.0268
chla_ug_l,CrossModalNet,0.8,0.9798,0.774,0.0255
chla_ug_l,CrossModalNet,0.9,1.3416,0.886,0.0144
chla_ug_l,CrossModalNet,0.95,1.6899,0.943,0.007
chla_ug_l,TemporalTrans-ERA5,0.8,0.8936,0.743,0.0571
chla_ug_l,TemporalTrans-ERA5,0.9,1.2249,0.854,0.0465
chla_ug_l,TemporalTrans-ERA5,0.95,1.5286,0.918,0.0325
tp_ug_l,MOSAIKS,0.8,1.2726,0.833,0.0325
tp_ug_l,MOSAIKS,0.9,2.0431,0.916,0.0163
tp_ug_l,MOSAIKS,0.95,2.8111,0.952,0.0023
tp_ug_l,ERA5-LSTM-w30,0.8,1.5547,0.822,0.0216
tp_ug_l,ERA5-LSTM-w30,0.9,2.1359,0.912,0.0122
tp_ug_l,ERA5-LSTM-w30,0.95,2.6242,0.958,0.0078
tp_ug_l,CrossModalNet,0.8,1.0648,0.798,0.0017
tp_ug_l,CrossModalNet,0.9,1.5606,0.894,0.0056
tp_ug_l,CrossModalNet,0.95,2.2532,0.947,0.0026
tp_ug_l,TemporalTrans-ERA5,0.8,1.4205,0.831,0.0308
tp_ug_l,TemporalTrans-ERA5,0.9,1.9322,0.905,0.0051
tp_ug_l,TemporalTrans-ERA5,0.95,2.4015,0.949,0.0006
secchi_m,MOSAIKS,0.8,0.6286,0.764,0.0359
secchi_m,MOSAIKS,0.9,0.8056,0.866,0.034
secchi_m,MOSAIKS,0.95,0.9509,0.921,0.0291
secchi_m,ERA5-LSTM-w30,0.8,0.6373,0.911,0.1107
secchi_m,ERA5-LSTM-w30,0.9,0.7897,0.952,0.0524
secchi_m,ERA5-LSTM-w30,0.95,0.9085,0.97,0.0198
secchi_m,CrossModalNet,0.8,0.5724,0.81,0.0101
secchi_m,CrossModalNet,0.9,0.7494,0.904,0.0043
secchi_m,CrossModalNet,0.95,0.9063,0.95,0.0
secchi_m,TemporalTrans-ERA5,0.8,0.6272,0.808,0.0078
secchi_m,TemporalTrans-ERA5,0.9,0.7574,0.901,0.0015
secchi_m,TemporalTrans-ERA5,0.95,0.8513,0.941,0.0089
chla_ug_l,LSTM-Temporal,0.8,0.8848,0.731,0.0693
chla_ug_l,LSTM-Temporal,0.9,1.1979,0.844,0.0561
chla_ug_l,LSTM-Temporal,0.95,1.484,0.906,0.0435
chla_ug_l,TriModal,0.8,0.9509,0.732,0.0682
chla_ug_l,TriModal,0.9,1.3033,0.836,0.0638
chla_ug_l,TriModal,0.95,1.6767,0.906,0.0443
tp_ug_l,LSTM-Temporal,0.8,1.3712,0.819,0.0189
tp_ug_l,LSTM-Temporal,0.9,1.8049,0.897,0.0029
tp_ug_l,LSTM-Temporal,0.95,2.1998,0.939,0.0111
tp_ug_l,TriModal,0.8,1.4715,0.833,0.0328
tp_ug_l,TriModal,0.9,2.0122,0.914,0.0135
tp_ug_l,TriModal,0.95,2.5501,0.957,0.0066
secchi_m,LSTM-Temporal,0.8,0.6084,0.827,0.0268
secchi_m,LSTM-Temporal,0.9,0.7291,0.896,0.0045
secchi_m,LSTM-Temporal,0.95,0.8124,0.93,0.0203
secchi_m,TriModal,0.8,0.634,0.827,0.0269
secchi_m,TriModal,0.9,0.7808,0.916,0.0156
secchi_m,TriModal,0.95,0.9111,0.963,0.0134
