target,model,trophic_class,nominal_coverage,picp,pinaw,winkler_score,ece,n
chla_ug_l,LSTM-Temporal,all,0.8,0.731,0.2492,3.228,0.0693,27398
chla_ug_l,LSTM-Temporal,eutrophic,0.8,0.426,0.2492,6.072,0.3742,2870
chla_ug_l,LSTM-Temporal,hypereutrophic,0.8,0.113,0.2492,12.884,0.6874,604
chla_ug_l,LSTM-Temporal,mesotrophic,0.8,0.784,0.2492,2.654,0.0157,9997
chla_ug_l,LSTM-Temporal,,0.8,0.722,0.2492,2.952,0.0782,2362
chla_ug_l,LSTM-Temporal,oligotrophic,0.8,0.794,0.2492,2.572,0.006,11565
chla_ug_l,LSTM-Temporal,all,0.9,0.844,0.3374,4.022,0.0561,27398
chla_ug_l,LSTM-Temporal,eutrophic,0.9,0.55,0.3374,7.826,0.3502,2870
chla_ug_l,LSTM-Temporal,hypereutrophic,0.9,0.164,0.3374,19.274,0.7361,604
chla_ug_l,LSTM-Temporal,mesotrophic,0.9,0.893,0.3374,3.178,0.0071,9997
chla_ug_l,LSTM-Temporal,,0.9,0.866,0.3374,3.542,0.0338,2362
chla_ug_l,LSTM-Temporal,oligotrophic,0.9,0.905,0.3374,3.11,0.0054,11565
chla_ug_l,LSTM-Temporal,all,0.95,0.906,0.418,4.824,0.0435,27398
chla_ug_l,LSTM-Temporal,eutrophic,0.95,0.683,0.418,9.44,0.2667,2870
chla_ug_l,LSTM-Temporal,hypereutrophic,0.95,0.232,0.418,27.601,0.7182,604
chla_ug_l,LSTM-Temporal,mesotrophic,0.95,0.947,0.418,3.647,0.003,9997
chla_ug_l,LSTM-Temporal,,0.95,0.939,0.418,4.188,0.0114,2362
chla_ug_l,LSTM-Temporal,oligotrophic,0.95,0.955,0.418,3.635,0.0055,11565
chla_ug_l,TriModal,all,0.8,0.732,0.2679,3.657,0.0682,27398
chla_ug_l,TriModal,eutrophic,0.8,0.427,0.2679,7.025,0.3728,2870
chla_ug_l,TriModal,hypereutrophic,0.8,0.142,0.2679,13.516,0.6576,604
chla_ug_l,TriModal,mesotrophic,0.8,0.727,0.2679,3.352,0.0731,9997
chla_ug_l,TriModal,,0.8,0.815,0.2679,2.759,0.0154,2362
chla_ug_l,TriModal,oligotrophic,0.8,0.825,0.2679,2.754,0.0254,11565
chla_ug_l,TriModal,all,0.9,0.836,0.3671,4.631,0.0638,27398
chla_ug_l,TriModal,eutrophic,0.9,0.567,0.3671,9.332,0.3331,2870
chla_ug_l,TriModal,hypereutrophic,0.9,0.224,0.3671,20.046,0.6765,604
chla_ug_l,TriModal,mesotrophic,0.9,0.849,0.3671,4.058,0.0511,9997
chla_ug_l,TriModal,,0.9,0.912,0.3671,3.408,0.0124,2362
chla_ug_l,TriModal,oligotrophic,0.9,0.908,0.3671,3.404,0.0084,11565
chla_ug_l,TriModal,all,0.95,0.906,0.4723,5.503,0.0443,27398
chla_ug_l,TriModal,eutrophic,0.95,0.708,0.4723,11.375,0.2423,2870
chla_ug_l,TriModal,hypereutrophic,0.95,0.336,0.4723,27.437,0.6139,604
chla_ug_l,TriModal,mesotrophic,0.95,0.926,0.4723,4.62,0.0244,9997
chla_ug_l,TriModal,,0.95,0.96,0.4723,4.048,0.0098,2362
chla_ug_l,TriModal,oligotrophic,0.95,0.956,0.4723,3.96,0.0064,11565
tp_ug_l,LSTM-Temporal,all,0.8,0.819,0.1192,3.994,0.0189,160290
tp_ug_l,LSTM-Temporal,eutrophic,0.8,0.661,0.1192,4.176,0.1394,25818
tp_ug_l,LSTM-Temporal,hypereutrophic,0.8,0.15,0.1192,10.801,0.6497,8471
tp_ug_l,LSTM-Temporal,mesotrophic,0.8,0.972,0.1192,2.807,0.1718,61106
tp_ug_l,LSTM-Temporal,oligotrophic,0.8,0.825,0.1192,4.151,0.0251,64895
tp_ug_l,LSTM-Temporal,all,0.9,0.897,0.157,4.918,0.0029,160290
tp_ug_l,LSTM-Temporal,eutrophic,0.9,0.865,0.157,4.483,0.0348,25818
tp_ug_l,LSTM-Temporal,hypereutrophic,0.9,0.327,0.157,13.075,0.5734,8471
tp_ug_l,LSTM-Temporal,mesotrophic,0.9,0.996,0.157,3.629,0.0955,61106
tp_ug_l,LSTM-Temporal,oligotrophic,0.9,0.892,0.157,5.239,0.0084,64895
tp_ug_l,LSTM-Temporal,all,0.95,0.939,0.1913,5.747,0.0111,160290
tp_ug_l,LSTM-Temporal,eutrophic,0.95,0.958,0.1913,4.843,0.0076,25818
tp_ug_l,LSTM-Temporal,hypereutrophic,0.95,0.552,0.1913,14.437,0.3979,8471
tp_ug_l,LSTM-Temporal,mesotrophic,0.95,0.999,0.1913,4.408,0.0491,61106
tp_ug_l,LSTM-Temporal,oligotrophic,0.95,0.925,0.1913,6.233,0.0247,64895
tp_ug_l,TriModal,all,0.8,0.833,0.128,4.24,0.0328,160290
tp_ug_l,TriModal,eutrophic,0.8,0.74,0.128,4.449,0.0596,25818
tp_ug_l,TriModal,hypereutrophic,0.8,0.35,0.128,10.561,0.4503,8471
tp_ug_l,TriModal,mesotrophic,0.8,0.947,0.128,3.108,0.1469,61106
tp_ug_l,TriModal,oligotrophic,0.8,0.825,0.128,4.398,0.0253,64895
