target,model,test_period,rmse,r2,mae,n
chla_ug_l,LSTM-Temporal,2011-15,19.173,-0.001,7.076,5626
chla_ug_l,LSTM-Temporal,2016-20,17.495,-0.006,6.882,5728
chla_ug_l,LSTM-Temporal,2021-25,19.75,0.006,6.771,5039
chla_ug_l,TriModal,2011-15,16.052,0.299,5.86,5626
chla_ug_l,TriModal,2016-20,14.817,0.279,5.819,5728
chla_ug_l,TriModal,2021-25,17.015,0.262,5.292,5039
tp_ug_l,LSTM-Temporal,2011-15,64.239,-0.013,22.808,34304
tp_ug_l,LSTM-Temporal,2016-20,81.011,-0.012,24.289,32653
tp_ug_l,LSTM-Temporal,2021-25,59.722,-0.014,22.634,27447
tp_ug_l,TriModal,2011-15,48.366,0.426,14.516,34304
tp_ug_l,TriModal,2016-20,65.337,0.342,16.43,32653
tp_ug_l,TriModal,2021-25,47.703,0.353,14.217,27447
secchi_m,LSTM-Temporal,2011-15,3.153,-1.586,2.46,1068
secchi_m,LSTM-Temporal,2016-20,2.214,-0.224,1.558,2759
secchi_m,LSTM-Temporal,2021-25,2.012,-0.057,1.392,2814
secchi_m,TriModal,2011-15,2.019,-0.06,1.312,1068
secchi_m,TriModal,2016-20,1.706,0.273,1.234,2759
secchi_m,TriModal,2021-25,1.405,0.484,0.956,2814
chla_ug_l,LSTM-Temporal,2011-15,19.176,-0.001,7.094,5626
chla_ug_l,LSTM-Temporal,2016-20,17.461,-0.002,6.938,5728
chla_ug_l,LSTM-Temporal,2021-25,19.835,-0.002,6.87,5039
chla_ug_l,TriModal,2011-15,15.92,0.31,5.705,5626
chla_ug_l,TriModal,2016-20,15.645,0.196,6.003,5728
chla_ug_l,TriModal,2021-25,16.487,0.307,5.157,5039
tp_ug_l,LSTM-Temporal,2011-15,63.912,-0.002,22.767,34304
tp_ug_l,LSTM-Temporal,2016-20,80.888,-0.009,24.149,32653
tp_ug_l,LSTM-Temporal,2021-25,59.544,-0.008,22.686,27447
tp_ug_l,TriModal,2011-15,49.273,0.404,14.755,34304
tp_ug_l,TriModal,2016-20,64.518,0.358,16.235,32653
tp_ug_l,TriModal,2021-25,47.544,0.357,14.069,27447
secchi_m,LSTM-Temporal,2011-15,3.589,-2.35,3.004,1068
secchi_m,LSTM-Temporal,2016-20,2.198,-0.206,1.541,2759
secchi_m,LSTM-Temporal,2021-25,2.009,-0.054,1.39,2814
secchi_m,TriModal,2011-15,2.063,-0.107,1.355,1068
secchi_m,TriModal,2016-20,1.691,0.286,1.212,2759
secchi_m,TriModal,2021-25,1.351,0.523,0.914,2814
