target,trophic_class,model,feature_set,rmse,r2,mae,n
chla_ug_l,all,LSTM-Temporal,full,21.655,-0.013,7.276,27398
chla_ug_l,eutrophic,LSTM-Temporal,full,32.888,-0.539,20.633,2870
chla_ug_l,hypereutrophic,LSTM-Temporal,full,113.924,-0.461,64.588,604
chla_ug_l,mesotrophic,LSTM-Temporal,full,9.514,-0.108,5.306,9997
chla_ug_l,oligotrophic,LSTM-Temporal,full,5.655,-0.373,2.863,11565
chla_ug_l,all,TriModal,full,22.176,-0.062,8.088,27398
chla_ug_l,eutrophic,TriModal,full,33.205,-0.569,20.41,2870
chla_ug_l,hypereutrophic,TriModal,full,110.72,-0.38,61.86,604
chla_ug_l,mesotrophic,TriModal,full,12.373,-0.873,6.963,9997
chla_ug_l,oligotrophic,TriModal,full,8.173,-1.869,3.48,11565
tp_ug_l,all,LSTM-Temporal,full,71.937,-0.003,23.579,160290
tp_ug_l,eutrophic,LSTM-Temporal,full,44.451,-4.852,37.999,25818
tp_ug_l,hypereutrophic,LSTM-Temporal,full,295.726,-0.604,183.886,8471
tp_ug_l,mesotrophic,LSTM-Temporal,full,18.931,-6.664,10.695,61106
tp_ug_l,oligotrophic,LSTM-Temporal,full,15.579,-30.48,9.049,64895
tp_ug_l,all,TriModal,full,71.975,-0.004,23.026,160290
tp_ug_l,eutrophic,TriModal,full,43.487,-4.601,35.795,25818
tp_ug_l,hypereutrophic,TriModal,full,295.944,-0.607,177.323,8471
tp_ug_l,mesotrophic,TriModal,full,18.237,-6.113,11.627,61106
tp_ug_l,oligotrophic,TriModal,full,17.248,-37.584,8.539,64895
secchi_m,all,LSTM-Temporal,full,2.01,-0.045,1.432,6911
secchi_m,eutrophic,LSTM-Temporal,full,1.802,-2.519,1.64,694
secchi_m,hypereutrophic,LSTM-Temporal,full,2.062,-15.123,2.009,130
secchi_m,mesotrophic,LSTM-Temporal,full,1.209,-0.446,0.992,2354
secchi_m,oligotrophic,LSTM-Temporal,full,2.518,-0.478,1.722,2542
secchi_m,all,TriModal,full,2.163,-0.21,1.626,6911
secchi_m,eutrophic,TriModal,full,2.527,-5.921,2.04,694
secchi_m,hypereutrophic,TriModal,full,2.813,-29.006,2.252,130
secchi_m,mesotrophic,TriModal,full,1.673,-1.771,1.259,2354
secchi_m,oligotrophic,TriModal,full,2.267,-0.198,1.673,2542
chla_ug_l,all,LSTM-Temporal,full,21.682,-0.015,7.421,27398
chla_ug_l,eutrophic,LSTM-Temporal,full,32.659,-0.518,20.42,2870
chla_ug_l,hypereutrophic,LSTM-Temporal,full,113.771,-0.457,64.401,604
chla_ug_l,mesotrophic,LSTM-Temporal,full,9.572,-0.121,5.392,9997
chla_ug_l,oligotrophic,LSTM-Temporal,full,6.274,-0.69,3.175,11565
chla_ug_l,all,TriModal,full,22.988,-0.141,8.351,27398
chla_ug_l,eutrophic,TriModal,full,35.59,-0.802,21.345,2870
chla_ug_l,hypereutrophic,TriModal,full,112.773,-0.432,64.045,604
chla_ug_l,mesotrophic,TriModal,full,13.233,-1.143,7.317,9997
chla_ug_l,oligotrophic,TriModal,full,8.15,-1.853,3.509,11565
tp_ug_l,all,LSTM-Temporal,full,72.256,-0.012,23.561,160290
tp_ug_l,eutrophic,LSTM-Temporal,full,43.984,-4.73,38.531,25818
tp_ug_l,hypereutrophic,LSTM-Temporal,full,299.747,-0.648,189.461,8471
tp_ug_l,mesotrophic,LSTM-Temporal,full,13.819,-3.084,9.698,61106
tp_ug_l,oligotrophic,LSTM-Temporal,full,14.756,-27.242,9.005,64895
tp_ug_l,all,TriModal,full,72.408,-0.016,23.786,160290
tp_ug_l,eutrophic,TriModal,full,43.456,-4.593,36.465,25818
tp_ug_l,hypereutrophic,TriModal,full,296.807,-0.616,178.584,8471
tp_ug_l,mesotrophic,TriModal,full,18.344,-6.197,11.52,61106
tp_ug_l,oligotrophic,TriModal,full,19.56,-48.619,10.084,64895
secchi_m,all,LSTM-Temporal,full,2.044,-0.08,1.453,6911
secchi_m,eutrophic,LSTM-Temporal,full,1.701,-2.135,1.55,694
secchi_m,hypereutrophic,LSTM-Temporal,full,2.025,-14.55,1.961,130
secchi_m,mesotrophic,LSTM-Temporal,full,1.211,-0.452,0.983,2354
secchi_m,oligotrophic,LSTM-Temporal,full,2.585,-0.557,1.79,2542
secchi_m,all,TriModal,full,1.955,0.012,1.461,6911
secchi_m,eutrophic,TriModal,full,1.507,-1.463,1.168,694
secchi_m,hypereutrophic,TriModal,full,1.767,-10.845,1.48,130
secchi_m,mesotrophic,TriModal,full,1.368,-0.851,1.044,2354
secchi_m,oligotrophic,TriModal,full,2.324,-0.259,1.768,2542
