model,target,nominal_coverage,picp,ece,mean_interval_width_log,n_folds
ViT,chla_ug_l,0.8,0.754,0.0457,2.176,5
ViT,chla_ug_l,0.9,0.875,0.0251,3.0218,5
ViT,chla_ug_l,0.95,0.942,0.0084,3.8396,5
ViT,tp_ug_l,0.8,0.767,0.0326,2.2264,5
ViT,tp_ug_l,0.9,0.891,0.009,3.4284,5
ViT,tp_ug_l,0.95,0.95,0.0003,4.9829,5
ViT,secchi_m,0.8,0.787,0.0135,1.2776,5
ViT,secchi_m,0.9,0.884,0.0162,1.6335,5
ViT,secchi_m,0.95,0.944,0.0059,2.014,5
Patch-XGBoost,chla_ug_l,0.8,0.776,0.024,1.9933,5
Patch-XGBoost,chla_ug_l,0.9,0.879,0.0215,2.5724,5
Patch-XGBoost,chla_ug_l,0.95,0.934,0.0156,3.1293,5
CNN-patch,chla_ug_l,0.8,0.763,0.0366,2.1165,5
CNN-patch,chla_ug_l,0.9,0.876,0.0239,2.8778,5
CNN-patch,chla_ug_l,0.95,0.936,0.0135,3.5815,5
CNN+Tabular,chla_ug_l,0.8,0.748,0.0519,2.0581,5
CNN+Tabular,chla_ug_l,0.9,0.854,0.0465,2.7512,5
CNN+Tabular,chla_ug_l,0.95,0.913,0.0366,3.4063,5
Patch-XGBoost,tp_ug_l,0.8,0.788,0.0121,2.2276,5
Patch-XGBoost,tp_ug_l,0.9,0.904,0.0037,3.3939,5
Patch-XGBoost,tp_ug_l,0.95,0.953,0.0034,4.7761,5
CNN-patch,tp_ug_l,0.8,0.774,0.0262,2.1839,5
CNN-patch,tp_ug_l,0.9,0.886,0.0142,3.2545,5
CNN-patch,tp_ug_l,0.95,0.945,0.0053,4.7568,5
CNN+Tabular,tp_ug_l,0.8,0.8,0.0004,2.2913,5
CNN+Tabular,tp_ug_l,0.9,0.893,0.0068,3.3907,5
CNN+Tabular,tp_ug_l,0.95,0.939,0.0113,4.6365,5
Patch-XGBoost,secchi_m,0.8,0.772,0.0278,1.1439,5
Patch-XGBoost,secchi_m,0.9,0.865,0.0351,1.4232,5
Patch-XGBoost,secchi_m,0.95,0.921,0.0294,1.6881,5
CNN-patch,secchi_m,0.8,0.79,0.0099,1.2634,5
CNN-patch,secchi_m,0.9,0.883,0.0166,1.645,5
CNN-patch,secchi_m,0.95,0.93,0.0195,2.0234,5
CNN+Tabular,secchi_m,0.8,0.786,0.0139,1.0925,5
CNN+Tabular,secchi_m,0.9,0.886,0.0137,1.4462,5
CNN+Tabular,secchi_m,0.95,0.932,0.0179,1.7627,5
