model,target,trophic_class,nominal_coverage,picp,ece,pinaw,winkler_score,n
ViT,chla_ug_l,all,0.8,0.754,0.0462,2.176,3.552,49300
ViT,chla_ug_l,oligotrophic,0.8,0.841,0.0405,2.176,2.969,17541
ViT,chla_ug_l,mesotrophic,0.8,0.779,0.0207,2.176,3.182,17731
ViT,chla_ug_l,eutrophic,0.8,0.599,0.2007,2.176,4.684,6965
ViT,chla_ug_l,hypereutrophic,0.8,0.394,0.4061,2.176,8.379,1399
ViT,chla_ug_l,all,0.9,0.876,0.0243,3.0218,4.252,49300
ViT,chla_ug_l,oligotrophic,0.9,0.93,0.0298,3.0218,3.674,17541
ViT,chla_ug_l,mesotrophic,0.9,0.907,0.0072,3.0218,3.775,17731
ViT,chla_ug_l,eutrophic,0.9,0.767,0.1335,3.0218,5.362,6965
ViT,chla_ug_l,hypereutrophic,0.9,0.513,0.3875,3.0218,10.789,1399
ViT,chla_ug_l,all,0.95,0.942,0.008,3.8396,4.874,49300
ViT,chla_ug_l,oligotrophic,0.95,0.971,0.021,3.8396,4.378,17541
ViT,chla_ug_l,mesotrophic,0.95,0.963,0.0129,3.8396,4.36,17731
ViT,chla_ug_l,eutrophic,0.95,0.884,0.0657,3.8396,5.726,6965
ViT,chla_ug_l,hypereutrophic,0.95,0.66,0.2895,3.8396,12.66,1399
ViT,tp_ug_l,all,0.8,0.767,0.0327,2.2264,4.103,502632
ViT,tp_ug_l,oligotrophic,0.8,0.705,0.0946,2.2264,5.393,148290
ViT,tp_ug_l,mesotrophic,0.8,0.903,0.1033,2.2264,2.645,206772
ViT,tp_ug_l,eutrophic,0.8,0.737,0.0632,2.2264,3.626,115111
ViT,tp_ug_l,hypereutrophic,0.8,0.292,0.5076,2.2264,9.194,32459
ViT,tp_ug_l,all,0.9,0.893,0.0075,3.4284,5.256,502632
ViT,tp_ug_l,oligotrophic,0.9,0.824,0.0763,3.4284,7.039,148290
ViT,tp_ug_l,mesotrophic,0.9,0.978,0.078,3.4284,3.674,206772
ViT,tp_ug_l,eutrophic,0.9,0.924,0.0236,3.4284,4.365,115111
ViT,tp_ug_l,hypereutrophic,0.9,0.552,0.348,3.4284,10.344,32459
ViT,tp_ug_l,all,0.95,0.952,0.0022,4.9829,6.375,502632
ViT,tp_ug_l,oligotrophic,0.95,0.898,0.0517,4.9829,7.98,148290
ViT,tp_ug_l,mesotrophic,0.95,0.993,0.0431,4.9829,5.102,206772
ViT,tp_ug_l,eutrophic,0.95,0.981,0.0307,4.9829,5.65,115111
ViT,tp_ug_l,hypereutrophic,0.95,0.835,0.1145,4.9829,9.717,32459
ViT,secchi_m,all,0.8,0.787,0.0127,1.2776,1.854,16163
ViT,secchi_m,oligotrophic,0.8,0.792,0.008,1.2776,1.883,4086
ViT,secchi_m,mesotrophic,0.8,0.846,0.0463,1.2776,1.657,5636
ViT,secchi_m,eutrophic,0.8,0.724,0.0758,1.2776,2.058,2328
ViT,secchi_m,hypereutrophic,0.8,0.651,0.1494,1.2776,2.236,415
ViT,secchi_m,all,0.9,0.884,0.0158,1.6335,2.216,16163
ViT,secchi_m,oligotrophic,0.9,0.881,0.0187,1.6335,2.275,4086
ViT,secchi_m,mesotrophic,0.9,0.922,0.0223,1.6335,2.001,5636
ViT,secchi_m,eutrophic,0.9,0.836,0.0637,1.6335,2.415,2328
ViT,secchi_m,hypereutrophic,0.9,0.8,0.1,1.6335,2.579,415
ViT,secchi_m,all,0.95,0.944,0.0062,2.014,2.556,16163
ViT,secchi_m,oligotrophic,0.95,0.935,0.0151,2.014,2.62,4086
ViT,secchi_m,mesotrophic,0.95,0.966,0.0156,2.014,2.362,5636
ViT,secchi_m,eutrophic,0.95,0.926,0.0239,2.014,2.699,2328
ViT,secchi_m,hypereutrophic,0.95,0.918,0.0319,2.014,2.775,415
Patch-XGBoost,chla_ug_l,all,0.8,0.776,0.0239,1.9933,3.003,49300
Patch-XGBoost,chla_ug_l,oligotrophic,0.8,0.842,0.0416,1.9933,2.578,17541
Patch-XGBoost,chla_ug_l,mesotrophic,0.8,0.821,0.0208,1.9933,2.637,17731
Patch-XGBoost,chla_ug_l,eutrophic,0.8,0.634,0.1661,1.9933,3.885,6965
Patch-XGBoost,chla_ug_l,hypereutrophic,0.8,0.429,0.3711,1.9933,6.637,1399
Patch-XGBoost,chla_ug_l,all,0.9,0.878,0.0215,2.5724,3.619,49300
Patch-XGBoost,chla_ug_l,oligotrophic,0.9,0.928,0.0275,2.5724,3.11,17541
Patch-XGBoost,chla_ug_l,mesotrophic,0.9,0.916,0.0157,2.5724,3.125,17731
Patch-XGBoost,chla_ug_l,eutrophic,0.9,0.768,0.1316,2.5724,4.643,6965
Patch-XGBoost,chla_ug_l,hypereutrophic,0.9,0.57,0.3303,2.5724,8.996,1399
Patch-XGBoost,chla_ug_l,all,0.95,0.935,0.0148,3.1293,4.214,49300
Patch-XGBoost,chla_ug_l,oligotrophic,0.95,0.965,0.0152,3.1293,3.633,17541
Patch-XGBoost,chla_ug_l,mesotrophic,0.95,0.963,0.0129,3.1293,3.584,17731
Patch-XGBoost,chla_ug_l,eutrophic,0.95,0.869,0.0811,3.1293,5.293,6965
Patch-XGBoost,chla_ug_l,hypereutrophic,0.95,0.677,0.2731,3.1293,11.791,1399
CNN-patch,chla_ug_l,all,0.8,0.762,0.0375,2.1165,3.386,49300
CNN-patch,chla_ug_l,oligotrophic,0.8,0.85,0.0499,2.1165,2.827,17541
