model,target,test_period,rmse,r2,mae,n
Patch-XGBoost,chla_ug_l,2011-15,20.731,0.219,7.614,10001
Patch-XGBoost,chla_ug_l,2016-20,20.487,0.157,8.495,10655
Patch-XGBoost,chla_ug_l,2021-25,20.865,0.166,7.624,9723
CNN-patch,chla_ug_l,2011-15,21.575,0.154,8.501,10001
CNN-patch,chla_ug_l,2016-20,21.297,0.089,9.033,10655
CNN-patch,chla_ug_l,2021-25,21.935,0.078,8.327,9723
CNN+Tabular,chla_ug_l,2011-15,19.833,0.285,7.445,10001
CNN+Tabular,chla_ug_l,2016-20,19.903,0.204,8.215,10655
CNN+Tabular,chla_ug_l,2021-25,20.113,0.225,7.628,9723
ViT,chla_ug_l,2011-15,21.18,0.185,8.495,10001
ViT,chla_ug_l,2016-20,20.891,0.123,9.213,10655
ViT,chla_ug_l,2021-25,20.685,0.18,8.009,9723
Patch-XGBoost,tp_ug_l,2011-15,63.274,0.184,19.698,107592
Patch-XGBoost,tp_ug_l,2016-20,104.157,0.075,23.618,108470
Patch-XGBoost,tp_ug_l,2021-25,166.234,0.027,23.17,97319
CNN-patch,tp_ug_l,2011-15,62.938,0.193,19.156,107592
CNN-patch,tp_ug_l,2016-20,103.09,0.094,22.711,108470
CNN-patch,tp_ug_l,2021-25,165.512,0.035,21.656,97319
CNN+Tabular,tp_ug_l,2011-15,60.73,0.248,17.362,107592
CNN+Tabular,tp_ug_l,2016-20,101.862,0.115,21.064,108470
CNN+Tabular,tp_ug_l,2021-25,164.824,0.043,20.043,97319
ViT,tp_ug_l,2011-15,62.116,0.214,19.387,107592
ViT,tp_ug_l,2016-20,102.481,0.104,23.161,108470
ViT,tp_ug_l,2021-25,165.418,0.036,22.124,97319
Patch-XGBoost,secchi_m,2011-15,1.744,-0.006,1.13,2917
Patch-XGBoost,secchi_m,2016-20,1.811,0.143,1.257,6099
Patch-XGBoost,secchi_m,2021-25,1.386,0.453,0.983,6300
CNN-patch,secchi_m,2011-15,1.796,-0.067,1.179,2917
CNN-patch,secchi_m,2016-20,2.002,-0.047,1.388,6099
CNN-patch,secchi_m,2021-25,1.665,0.21,1.186,6300
CNN+Tabular,secchi_m,2011-15,1.788,-0.057,1.181,2917
CNN+Tabular,secchi_m,2016-20,1.666,0.275,1.141,6099
CNN+Tabular,secchi_m,2021-25,1.28,0.533,0.876,6300
ViT,secchi_m,2011-15,1.785,-0.054,1.187,2917
ViT,secchi_m,2016-20,2.058,-0.106,1.453,6099
ViT,secchi_m,2021-25,1.596,0.274,1.133,6300
