model,target,trophic_class,rmse,r2,mae,n
ViT,chla_ug_l,oligotrophic,10.676,-1.171,4.566,17541
ViT,chla_ug_l,mesotrophic,13.029,-0.987,7.923,17731
ViT,chla_ug_l,eutrophic,30.645,-0.4,19.947,6965
ViT,chla_ug_l,hypereutrophic,93.467,-0.442,53.265,1399
ViT,tp_ug_l,oligotrophic,20.435,-40.636,10.832,148290
ViT,tp_ug_l,mesotrophic,21.474,-8.359,12.741,206772
ViT,tp_ug_l,eutrophic,39.718,-3.776,32.163,115111
ViT,tp_ug_l,hypereutrophic,405.22,-0.212,167.323,32459
ViT,secchi_m,oligotrophic,2.7,-0.705,1.912,4086
ViT,secchi_m,mesotrophic,1.877,-1.834,1.262,5636
ViT,secchi_m,eutrophic,2.02,-5.039,1.379,2328
ViT,secchi_m,hypereutrophic,1.576,-3.771,1.24,415
Patch-XGBoost,chla_ug_l,oligotrophic,8.301,-0.313,3.789,17541
Patch-XGBoost,chla_ug_l,mesotrophic,10.271,-0.235,6.263,17731
Patch-XGBoost,chla_ug_l,eutrophic,29.344,-0.283,18.345,6965
Patch-XGBoost,chla_ug_l,hypereutrophic,93.047,-0.43,52.401,1399
CNN-patch,chla_ug_l,oligotrophic,9.911,-0.871,4.178,17541
CNN-patch,chla_ug_l,mesotrophic,14.955,-1.617,7.778,17731
CNN-patch,chla_ug_l,eutrophic,30.773,-0.411,19.563,6965
CNN-patch,chla_ug_l,hypereutrophic,92.472,-0.412,51.603,1399
CNN+Tabular,chla_ug_l,oligotrophic,15.516,-3.585,5.124,17541
CNN+Tabular,chla_ug_l,mesotrophic,14.457,-1.446,7.746,17731
CNN+Tabular,chla_ug_l,eutrophic,30.273,-0.366,19.76,6965
CNN+Tabular,chla_ug_l,hypereutrophic,91.997,-0.397,54.387,1399
Patch-XGBoost,tp_ug_l,oligotrophic,12.58,-14.78,8.858,148290
Patch-XGBoost,tp_ug_l,mesotrophic,11.991,-1.918,8.539,206772
Patch-XGBoost,tp_ug_l,eutrophic,37.657,-3.293,32.21,115111
Patch-XGBoost,tp_ug_l,hypereutrophic,408.496,-0.232,175.617,32459
CNN-patch,tp_ug_l,oligotrophic,18.131,-31.775,9.481,148290
CNN-patch,tp_ug_l,mesotrophic,18.546,-5.981,11.59,206772
CNN-patch,tp_ug_l,eutrophic,41.414,-4.193,32.023,115111
CNN-patch,tp_ug_l,hypereutrophic,406.005,-0.217,167.559,32459
CNN+Tabular,tp_ug_l,oligotrophic,55.885,-310.385,15.853,148290
CNN+Tabular,tp_ug_l,mesotrophic,39.661,-30.925,13.627,206772
CNN+Tabular,tp_ug_l,eutrophic,41.68,-4.26,30.055,115111
CNN+Tabular,tp_ug_l,hypereutrophic,404.174,-0.206,163.788,32459
Patch-XGBoost,secchi_m,oligotrophic,2.698,-0.703,1.871,4086
Patch-XGBoost,secchi_m,mesotrophic,1.319,-0.4,0.995,5636
Patch-XGBoost,secchi_m,eutrophic,1.423,-1.996,1.161,2328
Patch-XGBoost,secchi_m,hypereutrophic,1.468,-3.139,1.168,415
CNN-patch,secchi_m,oligotrophic,2.706,-0.714,1.891,4086
CNN-patch,secchi_m,mesotrophic,1.655,-1.204,1.171,5636
CNN-patch,secchi_m,eutrophic,1.781,-3.694,1.282,2328
CNN-patch,secchi_m,hypereutrophic,1.426,-2.906,1.142,415
CNN+Tabular,secchi_m,oligotrophic,3.529,-1.914,1.922,4086
CNN+Tabular,secchi_m,mesotrophic,3.043,-6.453,1.235,5636
CNN+Tabular,secchi_m,eutrophic,1.271,-1.389,0.933,2328
CNN+Tabular,secchi_m,hypereutrophic,1.534,-3.517,1.212,415
