model,target,nominal_coverage,picp,ece,mean_interval_width_log,n_folds
convlstm,chla_ug_l,0.8,0.714,0.0861,4.8446,5
convlstm,chla_ug_l,0.9,0.836,0.0644,5.9219,5
convlstm,chla_ug_l,0.95,0.903,0.047,6.7938,5
convlstm,tp_ug_l,0.8,0.829,0.0295,8.1222,5
convlstm,tp_ug_l,0.9,0.912,0.0118,8.9801,5
convlstm,tp_ug_l,0.95,0.955,0.0049,9.6829,5
convlstm,secchi_m,0.8,0.794,0.0064,3.2156,5
convlstm,secchi_m,0.9,0.912,0.0119,3.6799,5
convlstm,secchi_m,0.95,0.954,0.0043,4.0249,5
cnn_transformer,chla_ug_l,0.8,0.71,0.0897,4.8842,5
cnn_transformer,chla_ug_l,0.9,0.834,0.0661,5.957,5
cnn_transformer,chla_ug_l,0.95,0.906,0.0441,6.8625,5
cnn_transformer,tp_ug_l,0.8,0.83,0.03,8.0704,5
cnn_transformer,tp_ug_l,0.9,0.912,0.0121,8.9185,5
cnn_transformer,tp_ug_l,0.95,0.955,0.0045,9.6331,5
cnn_transformer,secchi_m,0.8,0.819,0.0194,3.2386,5
cnn_transformer,secchi_m,0.9,0.923,0.0227,3.7159,5
cnn_transformer,secchi_m,0.95,0.959,0.009,4.0801,5
timesformer,chla_ug_l,0.8,0.713,0.0873,4.9504,5
timesformer,chla_ug_l,0.9,0.836,0.0645,6.017,5
timesformer,chla_ug_l,0.95,0.903,0.0468,6.896,5
timesformer,tp_ug_l,0.8,0.829,0.0291,8.137,5
timesformer,tp_ug_l,0.9,0.912,0.0116,8.9933,5
timesformer,tp_ug_l,0.95,0.955,0.005,9.7148,5
timesformer,secchi_m,0.8,0.79,0.0104,3.1564,5
timesformer,secchi_m,0.9,0.91,0.01,3.6293,5
timesformer,secchi_m,0.95,0.956,0.006,3.9672,5
stgcn,chla_ug_l,0.8,0.725,0.0748,4.4227,5
stgcn,chla_ug_l,0.9,0.833,0.0674,5.3653,5
stgcn,chla_ug_l,0.95,0.905,0.0448,6.3535,5
stgcn,tp_ug_l,0.8,0.827,0.0272,7.6534,5
stgcn,tp_ug_l,0.9,0.913,0.0133,8.7357,5
stgcn,tp_ug_l,0.95,0.958,0.0078,9.6335,5
stgcn,secchi_m,0.8,0.85,0.0502,3.561,5
stgcn,secchi_m,0.9,0.907,0.0069,3.8462,5
stgcn,secchi_m,0.95,0.936,0.0144,4.0278,5
dcrnn,chla_ug_l,0.8,0.722,0.0782,4.3362,5
dcrnn,chla_ug_l,0.9,0.828,0.0723,5.278,5
dcrnn,chla_ug_l,0.95,0.902,0.0477,6.2723,5
dcrnn,tp_ug_l,0.8,0.826,0.0262,7.7673,5
dcrnn,tp_ug_l,0.9,0.914,0.0142,8.8543,5
dcrnn,tp_ug_l,0.95,0.957,0.0074,9.7301,5
dcrnn,secchi_m,0.8,0.85,0.0502,3.4522,5
dcrnn,secchi_m,0.9,0.91,0.0096,3.7499,5
dcrnn,secchi_m,0.95,0.932,0.0182,3.9206,5
