model,target,trophic_class,nominal_coverage,picp,ece,pinaw,winkler_score,n
convlstm,chla_ug_l,all,0.8,0.706,0.0937,4.8446,7.194,49302
convlstm,chla_ug_l,oligotrophic,0.8,0.957,0.157,4.8446,5.102,17542
convlstm,chla_ug_l,mesotrophic,0.8,0.701,0.0991,4.8446,6.292,17732
convlstm,chla_ug_l,eutrophic,0.8,0.233,0.5674,4.8446,12.132,6965
convlstm,chla_ug_l,hypereutrophic,0.8,0.082,0.7178,4.8446,19.764,1399
convlstm,chla_ug_l,all,0.9,0.833,0.0671,5.9219,8.169,49302
convlstm,chla_ug_l,oligotrophic,0.9,0.982,0.0822,5.9219,6.125,17542
convlstm,chla_ug_l,mesotrophic,0.9,0.892,0.0082,5.9219,6.716,17732
convlstm,chla_ug_l,eutrophic,0.9,0.445,0.4549,5.9219,13.314,6965
convlstm,chla_ug_l,hypereutrophic,0.9,0.157,0.7427,5.9219,26.256,1399
convlstm,chla_ug_l,all,0.95,0.902,0.048,6.7938,9.012,49302
convlstm,chla_ug_l,oligotrophic,0.95,0.991,0.0411,6.7938,6.977,17542
convlstm,chla_ug_l,mesotrophic,0.95,0.966,0.0159,6.7938,7.219,17732
convlstm,chla_ug_l,eutrophic,0.95,0.646,0.3041,6.7938,13.666,6965
convlstm,chla_ug_l,hypereutrophic,0.95,0.242,0.7084,6.7938,33.476,1399
convlstm,tp_ug_l,all,0.8,0.829,0.029,8.1222,9.125,502633
convlstm,tp_ug_l,oligotrophic,0.8,1.0,0.2,8.1222,8.122,148290
convlstm,tp_ug_l,mesotrophic,0.8,1.0,0.2,8.1222,8.122,206772
convlstm,tp_ug_l,eutrophic,0.8,0.535,0.2649,8.1222,9.391,115111
convlstm,tp_ug_l,hypereutrophic,0.8,0.0,0.8,8.1222,19.152,32459
convlstm,tp_ug_l,all,0.9,0.911,0.0114,8.9801,9.894,502633
convlstm,tp_ug_l,oligotrophic,0.9,1.0,0.1,8.9801,8.98,148290
convlstm,tp_ug_l,mesotrophic,0.9,1.0,0.1,8.9801,8.98,206772
convlstm,tp_ug_l,eutrophic,0.9,0.895,0.0048,8.9801,9.168,115111
convlstm,tp_ug_l,hypereutrophic,0.9,0.0,0.9,8.9801,22.46,32459
convlstm,tp_ug_l,all,0.95,0.955,0.0046,9.6829,10.593,502633
convlstm,tp_ug_l,oligotrophic,0.95,1.0,0.05,9.6829,9.683,148290
convlstm,tp_ug_l,mesotrophic,0.95,1.0,0.05,9.6829,9.683,206772
convlstm,tp_ug_l,eutrophic,0.95,1.0,0.05,9.6829,9.683,115111
convlstm,tp_ug_l,hypereutrophic,0.95,0.297,0.6526,9.6829,23.769,32459
convlstm,secchi_m,all,0.8,0.797,0.0026,3.2156,3.728,16163
convlstm,secchi_m,oligotrophic,0.8,0.554,0.2464,3.2156,4.464,4086
convlstm,secchi_m,mesotrophic,0.8,0.92,0.1198,3.2156,3.345,5636
convlstm,secchi_m,eutrophic,0.8,0.987,0.1867,3.2156,3.23,2328
