model,target,test_period,r2,rmse,mae,n
convlstm,chla_ug_l,2011-15,-0.312,26.869,13.108,10001
convlstm,tp_ug_l,2011-15,-0.252,78.391,35.194,107592
convlstm,secchi_m,2011-15,-2.129,3.076,2.538,2917
convlstm,chla_ug_l,2016-20,-0.34,25.828,13.006,10655
convlstm,tp_ug_l,2016-20,-0.135,115.374,39.84,108470
convlstm,secchi_m,2016-20,-2.263,3.534,2.944,6099
convlstm,chla_ug_l,2021-25,-0.3,26.05,12.518,9723
convlstm,tp_ug_l,2021-25,-0.056,173.143,39.879,97319
convlstm,secchi_m,2021-25,-2.222,3.362,2.792,6300
cnn_transformer,chla_ug_l,2011-15,-0.307,26.813,12.97,10001
cnn_transformer,tp_ug_l,2011-15,-0.253,78.421,35.262,107592
cnn_transformer,secchi_m,2011-15,-2.039,3.032,2.481,2917
cnn_transformer,chla_ug_l,2016-20,-0.328,25.713,12.778,10655
cnn_transformer,tp_ug_l,2016-20,-0.132,115.199,39.4,108470
cnn_transformer,secchi_m,2016-20,-1.896,3.329,2.694,6099
cnn_transformer,chla_ug_l,2021-25,-0.308,26.127,12.684,9723
cnn_transformer,tp_ug_l,2021-25,-0.055,173.09,39.656,97319
cnn_transformer,secchi_m,2021-25,-2.68,3.593,3.067,6300
timesformer,chla_ug_l,2011-15,-0.308,26.823,13.013,10001
timesformer,tp_ug_l,2011-15,-0.25,78.326,35.045,107592
timesformer,secchi_m,2011-15,-1.539,2.771,2.162,2917
timesformer,chla_ug_l,2016-20,-0.323,25.669,12.698,10655
timesformer,tp_ug_l,2016-20,-0.135,115.346,39.758,108470
timesformer,secchi_m,2016-20,-2.359,3.586,3.006,6099
timesformer,chla_ug_l,2021-25,-0.305,26.095,12.605,9723
timesformer,tp_ug_l,2021-25,-0.055,173.031,39.4,97319
timesformer,secchi_m,2021-25,-2.608,3.558,3.025,6300
stgcn,chla_ug_l,2011-15,-0.264,21.547,9.87,5626
stgcn,tp_ug_l,2011-15,-0.213,70.303,29.465,34304
stgcn,secchi_m,2011-15,-1.92,3.351,2.711,1068
stgcn,chla_ug_l,2016-20,-0.298,19.878,9.518,5728
stgcn,tp_ug_l,2016-20,-0.152,86.422,31.382,32653
stgcn,secchi_m,2016-20,-3.02,4.013,3.477,2759
stgcn,chla_ug_l,2021-25,-0.214,21.827,9.159,5039
stgcn,tp_ug_l,2021-25,-0.255,66.453,29.978,27447
stgcn,secchi_m,2021-25,-2.461,3.641,3.056,2814
dcrnn,chla_ug_l,2011-15,-0.283,21.708,10.18,5626
dcrnn,tp_ug_l,2011-15,-0.213,70.316,29.491,34304
dcrnn,secchi_m,2011-15,-2.027,3.412,2.792,1068
dcrnn,chla_ug_l,2016-20,-0.285,19.78,9.343,5728
dcrnn,tp_ug_l,2016-20,-0.155,86.521,31.659,32653
dcrnn,secchi_m,2016-20,-2.83,3.917,3.369,2759
dcrnn,chla_ug_l,2021-25,-0.204,21.736,8.967,5039
dcrnn,tp_ug_l,2021-25,-0.258,66.519,30.126,27447
dcrnn,secchi_m,2021-25,-2.585,3.706,3.146,2814
