model,target,trophic_class,r2,rmse,mae,n
convlstm,chla_ug_l,oligotrophic,-0.264,8.146,3.723,17542
convlstm,chla_ug_l,mesotrophic,-1.049,13.232,9.469,17732
convlstm,chla_ug_l,eutrophic,-1.183,38.272,28.172,6965
convlstm,chla_ug_l,hypereutrophic,-0.808,104.645,69.966,1399
convlstm,tp_ug_l,oligotrophic,-3.015,6.346,5.507,148290
convlstm,tp_ug_l,mesotrophic,-8.375,21.492,20.314,206772
convlstm,tp_ug_l,eutrophic,-10.449,61.492,58.745,115111
convlstm,tp_ug_l,hypereutrophic,-0.327,423.93,210.357,32459
convlstm,secchi_m,oligotrophic,-4.214,4.721,4.237,4086
convlstm,secchi_m,mesotrophic,-4.317,2.57,2.311,5636
convlstm,secchi_m,eutrophic,-2.454,1.528,1.277,2328
convlstm,secchi_m,hypereutrophic,-1.431,1.125,0.854,415
cnn_transformer,chla_ug_l,oligotrophic,-0.277,8.189,3.794,17542
cnn_transformer,chla_ug_l,mesotrophic,-1.079,13.329,9.596,17732
cnn_transformer,chla_ug_l,eutrophic,-1.194,38.371,28.313,6965
cnn_transformer,chla_ug_l,hypereutrophic,-0.811,104.732,70.093,1399
cnn_transformer,tp_ug_l,oligotrophic,-3.139,6.443,5.616,148290
cnn_transformer,tp_ug_l,mesotrophic,-8.438,21.564,20.394,206772
cnn_transformer,tp_ug_l,eutrophic,-10.473,61.556,58.81,115111
cnn_transformer,tp_ug_l,hypereutrophic,-0.327,423.973,210.441,32459
cnn_transformer,secchi_m,oligotrophic,-3.965,4.607,4.118,4086
cnn_transformer,secchi_m,mesotrophic,-4.054,2.506,2.235,5636
cnn_transformer,secchi_m,eutrophic,-2.099,1.447,1.196,2328
cnn_transformer,secchi_m,hypereutrophic,-1.151,1.058,0.761,415
timesformer,chla_ug_l,oligotrophic,-0.247,8.092,3.587,17542
timesformer,chla_ug_l,mesotrophic,-1.014,13.118,9.308,17732
timesformer,chla_ug_l,eutrophic,-1.169,38.146,28.001,6965
timesformer,chla_ug_l,hypereutrophic,-0.804,104.52,69.754,1399
timesformer,tp_ug_l,oligotrophic,-2.938,6.285,5.452,148290
timesformer,tp_ug_l,mesotrophic,-8.333,21.444,20.261,206772
timesformer,tp_ug_l,eutrophic,-10.433,61.449,58.701,115111
timesformer,tp_ug_l,hypereutrophic,-0.326,423.9,210.299,32459
timesformer,secchi_m,oligotrophic,-4.157,4.695,4.214,4086
timesformer,secchi_m,mesotrophic,-4.136,2.526,2.266,5636
timesformer,secchi_m,eutrophic,-2.342,1.503,1.233,2328
timesformer,secchi_m,hypereutrophic,-1.423,1.123,0.827,415
stgcn,chla_ug_l,oligotrophic,-0.373,5.655,2.943,11566
stgcn,chla_ug_l,mesotrophic,-0.91,12.493,8.629,9997
stgcn,chla_ug_l,eutrophic,-0.968,37.185,26.088,2870
stgcn,chla_ug_l,hypereutrophic,-0.571,118.155,71.261,604
stgcn,tp_ug_l,oligotrophic,-3.865,6.124,5.468,64895
stgcn,tp_ug_l,mesotrophic,-7.885,20.383,19.2,61106
stgcn,tp_ug_l,eutrophic,-10.224,61.561,58.756,25818
stgcn,tp_ug_l,hypereutrophic,-0.837,316.474,213.637,8472
stgcn,secchi_m,oligotrophic,-3.954,4.61,4.119,2542
stgcn,secchi_m,mesotrophic,-4.516,2.361,2.137,2354
stgcn,secchi_m,eutrophic,-2.114,1.695,1.381,694
stgcn,secchi_m,hypereutrophic,-1.939,0.88,0.707,130
dcrnn,chla_ug_l,oligotrophic,-0.376,5.661,2.937,11566
dcrnn,chla_ug_l,mesotrophic,-0.922,12.531,8.667,9997
dcrnn,chla_ug_l,eutrophic,-0.976,37.261,26.169,2870
dcrnn,chla_ug_l,hypereutrophic,-0.574,118.245,71.402,604
dcrnn,tp_ug_l,oligotrophic,-4.057,6.244,5.598,64895
dcrnn,tp_ug_l,mesotrophic,-7.996,20.51,19.338,61106
dcrnn,tp_ug_l,eutrophic,-10.264,61.671,58.872,25818
dcrnn,tp_ug_l,hypereutrophic,-0.838,316.541,213.74,8472
dcrnn,secchi_m,oligotrophic,-4.292,4.765,4.285,2542
dcrnn,secchi_m,mesotrophic,-5.209,2.505,2.297,2354
dcrnn,secchi_m,eutrophic,-2.533,1.805,1.511,694
dcrnn,secchi_m,hypereutrophic,-2.714,0.99,0.808,130
