year,tsi_mean,tsi_std,tsi_p25,tsi_p75,tsi_coverage,tsi_rf_mean,tsi_rf_std,tsi_rf_p25,tsi_rf_p75,tsi_rf_coverage,tp_ug_l_mean,tp_ug_l_std,tp_ug_l_p25,tp_ug_l_p75,tp_ug_l_coverage,tp_ug_l_rf_mean,tp_ug_l_rf_std,tp_ug_l_rf_p25,tp_ug_l_rf_p75,tp_ug_l_rf_coverage,colour_mg_pt_l_mean,colour_mg_pt_l_std,colour_mg_pt_l_p25,colour_mg_pt_l_p75,colour_mg_pt_l_coverage,colour_mg_pt_l_rf_mean,colour_mg_pt_l_rf_std,colour_mg_pt_l_rf_p25,colour_mg_pt_l_rf_p75,colour_mg_pt_l_rf_coverage,tn_ug_l_mean,tn_ug_l_std,tn_ug_l_p25,tn_ug_l_p75,tn_ug_l_coverage,tn_ug_l_rf_mean,tn_ug_l_rf_std,tn_ug_l_rf_p25,tn_ug_l_rf_p75,tn_ug_l_rf_coverage,np_molar_ratio_mean,np_molar_ratio_std,np_molar_ratio_p25,np_molar_ratio_p75,np_molar_ratio_coverage,np_molar_ratio_rf_mean,np_molar_ratio_rf_std,np_molar_ratio_rf_p25,np_molar_ratio_rf_p75,np_molar_ratio_rf_coverage,secchi_m_mean,secchi_m_std,secchi_m_p25,secchi_m_p75,secchi_m_coverage,secchi_m_rf_mean,secchi_m_rf_std,secchi_m_rf_p25,secchi_m_rf_p75,secchi_m_rf_coverage,chla_ug_l_mean,chla_ug_l_std,chla_ug_l_p25,chla_ug_l_p75,chla_ug_l_coverage,chla_ug_l_rf_mean,chla_ug_l_rf_std,chla_ug_l_rf_p25,chla_ug_l_rf_p75,chla_ug_l_rf_coverage,ph_mean,ph_std,ph_p25,ph_p75,ph_coverage,ph_rf_mean,ph_rf_std,ph_rf_p25,ph_rf_p75,ph_rf_coverage,do_pct_sat_mean,do_pct_sat_std,do_pct_sat_p25,do_pct_sat_p75,do_pct_sat_coverage,do_pct_sat_rf_mean,do_pct_sat_rf_std,do_pct_sat_rf_p25,do_pct_sat_rf_p75,do_pct_sat_rf_coverage
2000,40.003,12.349,30.923,46.712,54.4,41.358,11.355,31.377,45.893,100.0,24.278,45.987,6.75,22.784,54.4,29.875,32.972,11.709,30.068,100.0,82.589,48.182,52.958,106.686,31.5,69.637,34.824,55.21,84.187,100.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,3.144,1.272,2.211,4.166,2.4,3.5,0.0,3.5,3.5,100.0,6.094,6.929,1.94,8.034,42.7,6.956,5.492,2.729,10.137,100.0,6.871,0.537,6.557,7.155,54.2,6.891,0.455,6.602,7.084,100.0,83.575,9.413,78.925,89.812,32.8,82.193,5.983,78.133,85.925,100.0
2001,40.425,12.487,31.468,47.595,55.6,41.836,11.86,31.593,48.915,100.0,26.095,45.338,7.158,26.136,55.6,33.942,37.914,11.815,37.754,100.0,83.545,44.889,54.528,105.64,31.5,69.429,35.56,55.748,85.757,100.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,3.002,1.339,2.163,3.649,2.4,3.494,0.0,3.494,3.494,100.0,6.828,9.227,1.733,8.481,42.7,8.517,7.358,3.761,11.436,100.0,6.863,0.517,6.548,7.143,55.5,6.89,0.443,6.6,7.066,100.0,83.392,8.864,78.178,89.809,32.7,81.794,5.784,78.012,86.731,100.0
2002,39.59,12.794,30.396,46.884,55.8,40.933,12.014,30.469,47.988,100.0,24.474,43.445,6.4,24.965,55.8,33.306,40.774,10.933,34.877,100.0,76.573,44.888,49.789,95.821,31.5,61.471,34.98,43.363,80.286,100.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,3.142,1.533,1.904,4.235,2.4,3.694,0.0,3.694,3.694,100.0,6.991,10.005,1.855,7.89,42.7,9.66,7.656,4.679,13.585,100.0,6.985,0.519,6.684,7.232,55.8,7.001,0.438,6.717,7.213,100.0,83.633,10.712,77.697,90.227,32.8,82.444,5.756,78.323,86.215,100.0
2003,39.214,11.961,29.918,45.971,55.7,40.219,11.29,30.786,45.865,100.0,24.14,43.72,6.45,24.036,55.8,32.115,35.349,11.986,34.193,100.0,71.148,40.519,41.667,97.384,31.7,60.86,34.122,42.894,76.114,100.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,3.727,1.33,2.764,4.422,2.4,4.151,0.0,4.151,4.151,100.0,7.896,11.469,1.829,9.168,42.6,10.644,8.871,4.124,14.616,100.0,7.016,0.503,6.727,7.253,55.7,7.053,0.417,6.789,7.204,100.0,83.22,10.038,77.5,90.036,36.0,82.879,5.253,80.518,86.22,100.0
2004,40.559,11.671,31.499,46.459,55.7,42.061,11.305,32.799,48.225,100.0,25.615,45.688,7.319,24.474,55.7,34.826,41.7,13.332,36.52,100.0,82.039,47.859,45.45,111.588,33.7,75.029,38.441,54.832,96.022,100.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,3.026,1.491,2.078,3.959,3.4,3.299,0.308,3.224,3.406,100.0,7.556,10.002,1.967,9.205,44.5,10.471,6.284,5.322,14.032,100.0,6.856,0.638,6.582,7.163,56.9,6.833,0.532,6.606,7.097,100.0,80.928,12.429,76.03,89.229,37.5,80.345,6.373,76.698,84.338,100.0
2005,41.191,11.754,32.307,47.947,56.5,42.63,11.109,33.658,49.314,100.0,25.011,40.749,7.464,25.65,56.5,31.754,32.953,11.535,38.679,100.0,86.165,56.308,51.077,112.13,36.6,74.453,37.382,36.632,99.113,100.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,3.473,1.507,2.117,4.401,2.4,3.78,0.223,3.813,3.929,100.0,7.505,10.123,1.725,9.322,44.2,9.329,7.549,4.067,12.408,100.0,6.947,0.506,6.65,7.188,56.5,6.994,0.437,6.698,7.159,100.0,78.207,14.188,71.726,88.375,36.4,76.039,8.71,69.372,82.572,100.0
2006,40.582,12.898,32.031,48.386,56.2,42.543,11.832,31.927,50.8,100.0,25.277,41.411,6.786,26.637,56.8,33.882,34.195,12.763,38.801,100.0,88.929,49.368,51.775,116.792,33.3,83.975,32.134,66.45,100.604,100.0,888.236,805.19,1.792,1900.0,2.8,424.304,409.057,108.058,740.841,100.0,,,,,0.0,,,,,0.0,3.173,1.598,1.866,4.215,3.4,3.368,0.349,3.215,3.65,100.0,7.327,10.767,1.85,8.01,45.4,9.687,7.959,4.131,14.677,100.0,6.948,0.539,6.707,7.182,56.8,6.965,0.474,6.701,7.139,100.0,79.513,14.446,72.738,88.516,33.7,80.21,6.759,76.363,84.929,100.0
2007,37.338,12.687,28.051,45.646,60.9,37.238,12.846,27.299,44.085,100.0,19.814,34.454,5.489,20.917,61.2,22.781,24.635,7.114,24.025,100.0,94.89,60.866,52.072,125.141,33.5,78.838,43.346,56.331,96.399,100.0,511.286,535.687,215.778,646.093,60.3,547.455,473.92,222.981,701.841,100.0,108.968,50.552,75.953,132.774,60.3,112.416,35.514,85.707,132.983,100.0,2.377,1.007,1.499,2.866,4.4,2.821,0.424,2.735,3.075,100.0,7.117,9.619,1.672,8.975,46.9,9.258,6.027,4.576,13.22,100.0,6.935,0.542,6.638,7.195,61.1,7.025,0.487,6.761,7.162,100.0,83.584,12.446,78.472,91.631,35.5,82.574,5.911,80.192,85.861,100.0
2008,39.472,12.932,30.077,48.303,61.2,39.746,13.224,29.552,48.429,100.0,23.293,44.538,6.548,25.3,61.3,26.481,29.799,8.592,26.733,100.0,95.499,63.777,51.684,127.731,42.1,103.589,46.266,73.964,123.97,100.0,516.863,575.455,221.61,619.469,60.0,557.758,516.099,226.057,717.313,100.0,89.915,45.335,64.236,105.098,60.0,87.209,24.137,69.805,101.671,100.0,2.462,1.152,1.732,2.827,5.0,2.847,0.451,2.737,3.105,100.0,8.379,10.164,1.75,10.64,48.7,11.622,8.66,4.662,18.392,100.0,6.924,0.545,6.635,7.19,61.2,6.927,0.481,6.625,7.16,100.0,81.874,12.917,76.633,90.037,40.4,82.354,6.214,79.235,86.44,100.0
2009,39.703,12.948,30.659,48.043,61.0,39.901,13.893,30.041,49.566,100.0,23.448,41.697,6.754,25.906,61.1,28.979,30.394,9.264,35.827,100.0,92.736,49.967,58.117,121.144,36.5,95.511,35.476,72.281,114.132,100.0,508.527,467.778,240.804,618.801,60.1,548.568,414.684,250.264,790.335,100.0,90.028,44.61,63.847,106.389,60.1,89.905,23.933,76.303,102.428,100.0,2.181,0.937,1.702,2.633,5.9,2.616,0.334,2.418,2.828,100.0,7.772,9.819,1.688,10.53,51.2,9.775,7.478,3.537,14.952,100.0,6.909,0.558,6.595,7.18,61.0,6.985,0.497,6.7,7.174,100.0,89.264,25.586,77.392,93.6,34.9,91.665,11.404,84.91,99.521,100.0
